Formula,Herb,Amount
大活络丹,黄芩,60.0
大活络丹,白术,30.0
大活络丹,熟地黄,60.0
大活络丹,松香脂,15.0
大活络丹,大黄,60.0
大活络丹,当归,45.0
大活络丹,木香,60.0
大活络丹,沉香,30.0
大秦艽汤,秦艽,90.0
大秦艽汤,川芎,60.0
大秦艽汤,独活,60.0
大秦艽汤,当归,60.0
大秦艽汤,白芍,60.0
大秦艽汤,石膏,60.0
大秦艽汤,甘草,60.0
大秦艽汤,羌活,30.0
大秦艽汤,防风,30.0
大秦艽汤,白芷,30.0
大秦艽汤,黄芩,30.0
大秦艽汤,白术,30.0
大秦艽汤,茯苓,30.0
大秦艽汤,生地黄,30.0
大秦艽汤,熟地黄,30.0
宣痹汤,防己,15.0
宣痹汤,杏仁,15.0
宣痹汤,滑石,15.0
宣痹汤,连翘,9.0
宣痹汤,栀子,9.0
宣痹汤,薏苡仁,15.0
宣痹汤,半夏醋,9.0
宣痹汤,晚蚕沙,9.0
宣痹汤,赤小豆皮,9.0
身痛逐瘀汤,秦艽,3.0
身痛逐瘀汤,川芎,6.0
身痛逐瘀汤,桃仁,9.0
身痛逐瘀汤,红花,9.0
身痛逐瘀汤,甘草,6.0
身痛逐瘀汤,羌活,3.0
身痛逐瘀汤,没药,6.0
身痛逐瘀汤,当归,9.0
身痛逐瘀汤,五灵脂,6.0
身痛逐瘀汤,香附,3.0
身痛逐瘀汤,牛膝,9.0
身痛逐瘀汤,地龙,6.0
薏苡仁汤,薏苡仁,15.0
薏苡仁汤,当归,9.0
薏苡仁汤,川芎,9.0
薏苡仁汤,生姜,9.0
薏苡仁汤,桂枝,9.0
薏苡仁汤,羌活,9.0
薏苡仁汤,独活,9.0
薏苡仁汤,防风,9.0
薏苡仁汤,白术,9.0
薏苡仁汤,草乌,9.0
薏苡仁汤,川乌,9.0
薏苡仁汤,麻黄,5.0
防风汤,防风,30.0
防风汤,甘草,30.0
防风汤,当归,30.0
防风汤,赤茯苓,30.0
防风汤,杏仁,30.0
防风汤,桂枝,30.0
防风汤,黄芩,9.0
防风汤,秦艽,9.0
防风汤,葛根,9.0
防风汤,麻黄,15.0
桂枝芍药知母汤,桂枝,120.0
桂枝芍药知母汤,芍药,90.0
桂枝芍药知母汤,甘草,60.0
桂枝芍药知母汤,麻黄,60.0
桂枝芍药知母汤,知母,90.0
桂枝芍药知母汤,生姜,150.0
桂枝芍药知母汤,白术,150.0
桂枝芍药知母汤,防风,120.0
桂枝芍药知母汤,附子,10.0
白术附子汤,附子,9.0
白术附子汤,白术,12.0
白术附子汤,生姜,9.0
白术附子汤,甘草,6.0
白术附子汤,大枣,60.0
黄芪桂枝五物汤,黄芪,9.0
黄芪桂枝五物汤,桂枝,9.0
黄芪桂枝五物汤,芍药,9.0
黄芪桂枝五物汤,生姜,18.0
黄芪桂枝五物汤,大枣,50.0
五痹汤,片姜黄,30.0
五痹汤,甘草,15.0
五痹汤,羌活,30.0
五痹汤,白术,30.0
五痹汤,防己,30.0
蠲痹汤,当归,30.0
蠲痹汤,羌活,30.0
蠲痹汤,姜黄,30.0
蠲痹汤,黄芪,30.0
蠲痹汤,白芍,30.0
蠲痹汤,防风,30.0
蠲痹汤,甘草,15.0
附子汤,附子,10.0
附子汤,茯苓,90.0
附子汤,人参,60.0
附子汤,白术,120.0
附子汤,芍药,90.0
安冲汤,白术,18.0
安冲汤,生黄芪,18.0
安冲汤,生龙骨,18.0
安冲汤,生牡蛎,18.0
安冲汤,大生地,18.0
安冲汤,生杭芍,9.0
安冲汤,海螵蛸,12.0
安冲汤,茜草,9.0
安冲汤,川续断,12.0
苎根汤,苎麻根,15.0
苎根汤,干地黄,15.0
苎根汤,当归,9.0
苎根汤,芍药,9.0
苎根汤,阿胶,9.0
苎根汤,甘草,9.0
过期饮,当归,6.0
过期饮,白芍,6.0
过期饮,熟地黄,6.0
过期饮,香附,6.0
过期饮,川芎,3.0
过期饮,红花,2.0
过期饮,桃仁,2.0
过期饮,莪术,5.0
过期饮,木通,5.0
过期饮,甘草,1.0
过期饮,肉桂,1.0
四乌鲗骨一芦茹丸,乌贼骨,20.0
四乌鲗骨一芦茹丸,茜草,20.0
胶艾汤,川芎,20.0
胶艾汤,烊化阿胶,20.0
柏叶汤,侧柏叶,15.0
柏叶汤,干姜,6.0
柏叶汤,艾叶,6.0
崩证极验方,生地黄,15.0
崩证极验方,白芍,9.0
崩证极验方,黄芩,9.0
崩证极验方,黄连,6.0
崩证极验方,牡丹皮,9.0
崩证极验方,焦山栀,9.0
崩证极验方,莲须,9.0
崩证极验方,地榆,12.0
崩证极验方,牡蛎,30.0
崩证极验方,甘草,9.0
清经散,牡丹皮,9.0
清经散,地骨皮,15.0
清经散,白芍,9.0
清经散,熟地黄,6.0
清经散,青蒿,6.0
清经散,茯苓,3.0
清经散,盐水,5.0
清经散,黄柏,5.0
荆芩四物汤,生地黄,15.0
荆芩四物汤,当归,9.0
荆芩四物汤,川芎,6.0
荆芩四物汤,白芍,9.0
荆芩四物汤,荆芥,9.0
荆芩四物汤,黄芩,9.0
四物加黄芩黄连汤,生地黄,15.0
四物加黄芩黄连汤,当归,9.0
四物加黄芩黄连汤,白芍,9.0
四物加黄芩黄连汤,川芎,8.0
四物加黄芩黄连汤,黄芩,9.0
四物加黄芩黄连汤,黄连,6.0
咳血方,水飞青黛,6.0
咳血方,诃子,6.0
咳血方,油瓜蒌仁,9.0
咳血方,海浮石,9.0
咳血方,黑栀子,9.0
四生丸,生荷叶,20.0
四生丸,生艾叶,20.0
四生丸,生柏叶,20.0
四生丸,生地黄,20.0
除风益损汤,熟地黄,6.0
除风益损汤,当归,6.0
除风益损汤,白芍,6.0
除风益损汤,川芎,6.0
除风益损汤,藁本,5.0
除风益损汤,前胡,5.0
除风益损汤,防风,5.0
跌打丸,没药,20.0
跌打丸,麻黄,20.0
跌打丸,自然铜,20.0
跌打丸,当归,20.0
跌打丸,川芎,20.0
跌打丸,土鳖虫,20.0
跌打丸,血竭,20.0
跌打丸,马钱子,20.0
跌打丸,麝香,20.0
理冲汤,生山药,15.0
理冲汤,天花粉,12.0
理冲汤,知母,12.0
理冲汤,黄芪,9.0
理冲汤,三棱,9.0
理冲汤,莪术,9.0
理冲汤,鸡内金,9.0
理冲汤,党参,6.0
理冲汤,白术,6.0
通瘀煎,当归尾,0.0
通瘀煎,山楂,6.0
通瘀煎,香附,6.0
通瘀煎,红花,6.0
通瘀煎,乌药,4.5
通瘀煎,青皮,1.5
通瘀煎,木香,2.1
通瘀煎,泽泻,1.5
温经汤,吴茱萸,90.0
温经汤,麦门冬,90.0
温经汤,当归,60.0
温经汤,芍药,60.0
温经汤,川芎,60.0
温经汤,人参,60.0
温经汤,桂枝,60.0
温经汤,阿胶,60.0
温经汤,心牡丹皮,60.0
温经汤,生姜,60.0
温经汤,甘草,60.0
温经汤,半夏,60.0
宫外孕方,号方：丹参,15.0
宫外孕方,赤芍,15.0
宫外孕方,桃仁,9.0
桂枝茯苓丸,桂枝,20.0
桂枝茯苓丸,茯苓,20.0
桂枝茯苓丸,牡丹皮,20.0
桂枝茯苓丸,桃仁,20.0
桂枝茯苓丸,芍药,20.0
鳖甲煎丸,鳖甲,3.5999999999999996
鳖甲煎丸,赤硝,3.5999999999999996
鳖甲煎丸,蜣螂,1.7999999999999998
鳖甲煎丸,芍药,1.5
鳖甲煎丸,牡丹,1.5
鳖甲煎丸,土蟞虫,1.5
鳖甲煎丸,蜂巢,1.2
鳖甲煎丸,乌扇,0.8999999999999999
鳖甲煎丸,柴胡,0.8999999999999999
鳖甲煎丸,黄芩,0.8999999999999999
鳖甲煎丸,鼠妇,0.8999999999999999
鳖甲煎丸,干姜,0.8999999999999999
鳖甲煎丸,大黄,0.8999999999999999
鳖甲煎丸,桂枝,0.8999999999999999
鳖甲煎丸,厚朴,0.8999999999999999
鳖甲煎丸,石韦,0.8999999999999999
鳖甲煎丸,紫葳,0.8999999999999999
鳖甲煎丸,阿胶,0.8999999999999999
鳖甲煎丸,瞿麦,0.6
鳖甲煎丸,桃仁,0.6
鳖甲煎丸,葶苈,0.3
鳖甲煎丸,半夏人参,0.3
大黄蛰虫丸,大黄,3.0
大黄蛰虫丸,黄芩,60.0
大黄蛰虫丸,甘草,90.0
大黄蛰虫丸,桃仁,24.0
大黄蛰虫丸,杏仁,24.0
大黄蛰虫丸,芍药,120.0
大黄蛰虫丸,干地黄,300.0
大黄蛰虫丸,干漆,30.0
大黄蛰虫丸,虻虫,24.0
大黄蛰虫丸,水蛭,0.0
大黄蛰虫丸,蛴螬,24.0
大黄蛰虫丸,蛰虫,12.0
复方当归注射液,当归,20.0
复方当归注射液,川芎,20.0
复方当归注射液,红花,20.0
复方丹参注射液,丹参,20.0
复方丹参注射液,降香,20.0
丹参饮,丹参,30.0
丹参饮,檀香,1.5
丹参饮,砂仁,1.5
柴胡细辛汤,柴胡,6.0
柴胡细辛汤,土鳖虫,9.0
柴胡细辛汤,丹参,9.0
柴胡细辛汤,制半夏,6.0
柴胡细辛汤,泽兰,9.0
柴胡细辛汤,当归,9.0
柴胡细辛汤,川芎,6.0
柴胡细辛汤,薄荷,6.0
柴胡细辛汤,黄连,3.0
活络效灵丹,当归,9.0
活络效灵丹,丹参,9.0
活络效灵丹,没药,9.0
当归拈痛汤,羌活,15.0
当归拈痛汤,甘草,15.0
当归拈痛汤,茵陈,15.0
当归拈痛汤,防风,9.0
当归拈痛汤,苍术,9.0
当归拈痛汤,当归身,9.0
当归拈痛汤,知母,9.0
当归拈痛汤,猪苓,9.0
当归拈痛汤,泽泻,9.0
当归拈痛汤,升麻,3.0
当归拈痛汤,白术,3.0
当归拈痛汤,黄芩,3.0
当归拈痛汤,葛根,6.0
当归拈痛汤,人参,6.0
当归拈痛汤,苦参,6.0
失笑散,五灵脂,20.0
失笑散,蒲黄,20.0
当归饮子,当归,30.0
当归饮子,白芍,30.0
当归饮子,川芎,30.0
当归饮子,生地黄,30.0
当归饮子,白蒺藜,30.0
当归饮子,防风,30.0
当归饮子,荆芥穗,30.0
当归饮子,何首乌,15.0
当归饮子,黄芪,15.0
当归饮子,甘草,15.0
桃红饮,桃仁,9.0
桃红饮,红花,9.0
桃红饮,当归尾,9.0
桃红饮,川芎,9.0
桃红饮,威灵仙,9.0
脱花煎,当归,15.0
脱花煎,川芎,9.0
脱花煎,牛膝,9.0
脱花煎,车前子,6.0
脱花煎,肉桂,3.0
脱花煎,红花,6.0
抵当汤,水蛭,150.0
抵当汤,虻虫,150.0
抵当汤,桃仁,100.0
抵当汤,大黄,90.0
通窍活血汤,赤芍,3.0
通窍活血汤,川芎,3.0
通窍活血汤,桃仁,6.0
通窍活血汤,红花,9.0
通窍活血汤,生姜,9.0
通窍活血汤,麝香,0.15
通窍活血汤,老葱,20.0
通窍活血汤,大枣,20.0
会厌逐瘀汤,桃仁,9.0
会厌逐瘀汤,红花,6.0
会厌逐瘀汤,生地黄,12.0
会厌逐瘀汤,当归,9.0
会厌逐瘀汤,赤芍,9.0
会厌逐瘀汤,枳壳,6.0
会厌逐瘀汤,桔梗,3.0
会厌逐瘀汤,柴胡,6.0
会厌逐瘀汤,玄参,9.0
会厌逐瘀汤,甘草,3.0
少腹逐瘀汤,小茴香,20.0
少腹逐瘀汤,干姜,0.6
少腹逐瘀汤,延胡索,3.0
少腹逐瘀汤,官桂,3.0
少腹逐瘀汤,没药,3.0
少腹逐瘀汤,川芎,3.0
少腹逐瘀汤,赤芍,6.0
少腹逐瘀汤,五灵脂,6.0
少腹逐瘀汤,蒲黄,9.0
少腹逐瘀汤,当归,9.0
桃红四物汤,白芍,9.0
桃红四物汤,川当归,9.0
桃红四物汤,熟地黄,9.0
桃红四物汤,川芎,9.0
桃红四物汤,桃仁,9.0
桃红四物汤,红花,6.0
橘皮竹茹汤,橘皮,12.0
橘皮竹茹汤,竹茹,12.0
橘皮竹茹汤,大枣,25.0
橘皮竹茹汤,生姜,9.0
橘皮竹茹汤,甘草,6.0
橘皮竹茹汤,人参,3.0
小半夏汤,半夏,24.0
小半夏汤,生姜,250.0
暖肝煎,当归,6.0
暖肝煎,枸杞,9.0
暖肝煎,乌药,6.0
暖肝煎,小茴香,6.0
暖肝煎,茯苓,6.0
暖肝煎,沉香,3.0
暖肝煎,肉桂,3.0
暖肝煎,生姜,20.0
橘核丸,橘核,30.0
橘核丸,海藻,30.0
橘核丸,昆布,30.0
橘核丸,海带,30.0
橘核丸,川楝子,30.0
橘核丸,桃仁,30.0
橘核丸,厚朴,15.0
橘核丸,木通,15.0
橘核丸,枳实,15.0
橘核丸,延胡索,15.0
橘核丸,肉桂,15.0
橘核丸,木香,15.0
天台乌药散,乌药,15.0
天台乌药散,木香,15.0
天台乌药散,茴香,15.0
天台乌药散,青橘皮,15.0
天台乌药散,高良姜,15.0
天台乌药散,槟榔,10.0
天台乌药散,川楝子,50.0
四磨汤,人参,20.0
四磨汤,槟榔,20.0
四磨汤,沉香,20.0
四磨汤,天台乌药,20.0
金铃子散,金铃子,30.0
金铃子散,玄胡索,30.0
失笑丸,干姜,6.0
失笑丸,甘草,6.0
失笑丸,麦芽,6.0
失笑丸,白茯苓,6.0
失笑丸,白术,6.0
失笑丸,半夏,9.0
失笑丸,人参,9.0
失笑丸,厚朴,12.0
失笑丸,枳实,15.0
失笑丸,黄连,15.0
黄连汤,黄连,90.0
黄连汤,半夏,12.0
黄连汤,甘草,30.0
黄连汤,干姜,30.0
黄连汤,桂枝,30.0
黄连汤,人参,60.0
黄连汤,大枣,50.0
芍药甘草汤,芍药,120.0
芍药甘草汤,甘草,120.0
柴胡加龙骨牡蛎汤,柴胡,120.0
柴胡加龙骨牡蛎汤,龙骨,15.0
柴胡加龙骨牡蛎汤,生姜,15.0
柴胡加龙骨牡蛎汤,人参,15.0
柴胡加龙骨牡蛎汤,皮桂枝,15.0
柴胡加龙骨牡蛎汤,茯苓,15.0
柴胡加龙骨牡蛎汤,半夏,3.0
柴胡加龙骨牡蛎汤,黄芩,30.0
柴胡加龙骨牡蛎汤,铅丹,15.0
柴胡加龙骨牡蛎汤,大黄,60.0
柴胡加龙骨牡蛎汤,熬牡蛎,15.0
柴胡加龙骨牡蛎汤,大枣,20.0
己椒苈黄丸,防己,30.0
己椒苈黄丸,椒目,30.0
己椒苈黄丸,熬葶苈,30.0
己椒苈黄丸,大黄,30.0
禹功散,头末黑牵牛,120.0
禹功散,茴香,30.0
疏凿饮子,泽泻,12.0
疏凿饮子,赤小豆,15.0
疏凿饮子,商陆,6.0
疏凿饮子,芦羌活,9.0
疏凿饮子,大腹皮,15.0
疏凿饮子,椒目,9.0
疏凿饮子,木通,12.0
疏凿饮子,芦秦艽,9.0
疏凿饮子,槟榔,9.0
疏凿饮子,茯苓皮,30.0
通幽汤,桃仁泥,0.3
通幽汤,红花,0.3
通幽汤,生地黄,1.5
通幽汤,熟地黄,1.5
通幽汤,当归身,3.0
通幽汤,甘草,3.0
通幽汤,升麻,3.0
济川煎,当归,15.0
济川煎,牛膝,20.0
济川煎,肉苁蓉,7.5
济川煎,泽泻,1.5
济川煎,升麻,3.6
济川煎,枳壳,3.0
济川煎,虚甚者,3.0
五仁丸,桃仁,15.0
五仁丸,杏仁,30.0
五仁丸,皮尖,30.0
五仁丸,柏子仁,3.75
五仁丸,郁李仁,3.0
五仁丸,松子仁,3.0
五仁丸,陈皮另,120.0
新加黄龙汤,生地黄,15.0
新加黄龙汤,生甘草,6.0
新加黄龙汤,人参,20.0
新加黄龙汤,生大黄,9.0
新加黄龙汤,芒硝,3.0
新加黄龙汤,玄参,15.0
新加黄龙汤,连心麦门冬,15.0
新加黄龙汤,当归,4.5
新加黄龙汤,海参,20.0
新加黄龙汤,姜汁,20.0
温脾汤,大黄,120.0
温脾汤,附子大者,5.0
温脾汤,干姜,60.0
温脾汤,人参,60.0
温脾汤,甘草,60.0
增液承气汤,生地黄,24.0
增液承气汤,麦门冬,24.0
增液承气汤,大黄,9.0
增液承气汤,芒硝,4.5
增液承气汤,玄参,30.0
开胸顺气丸,槟榔,20.0
开胸顺气丸,牵牛子,20.0
开胸顺气丸,陈皮,20.0
开胸顺气丸,木香,20.0
开胸顺气丸,姜制厚朴,20.0
开胸顺气丸,醋制三棱,20.0
开胸顺气丸,醋制莪术,20.0
开胸顺气丸,猪牙皂,20.0
木香槟榔丸,木香,30.0
木香槟榔丸,槟榔,30.0
木香槟榔丸,青皮,30.0
木香槟榔丸,陈皮,30.0
木香槟榔丸,莪术,30.0
木香槟榔丸,烧枳壳,30.0
木香槟榔丸,黄连,30.0
木香槟榔丸,黄柏,30.0
木香槟榔丸,大黄,15.0
木香槟榔丸,香附子,60.0
木香槟榔丸,牵牛末,60.0
宣白承气汤,生石膏,15.0
宣白承气汤,生大黄,9.0
宣白承气汤,杏仁粉,6.0
宣白承气汤,栝楼皮,4.5
大黄甘草汤,大黄,15.0
大黄甘草汤,甘草,15.0
大陷胸汤,大黄,180.0
大陷胸汤,芒硝,24.0
大陷胸汤,甘遂,20.0
桃核承气汤,桃核,250.0
桃核承气汤,大黄,120.0
桃核承气汤,桂枝,60.0
桃核承气汤,甘草,60.0
桃核承气汤,芒硝,60.0
厚朴三物汤,厚朴,240.0
厚朴三物汤,大黄,120.0
厚朴三物汤,枳实,25.0
当归六黄汤,当归,6.0
当归六黄汤,生地黄,6.0
当归六黄汤,黄芩,6.0
当归六黄汤,黄柏,6.0
当归六黄汤,黄连,6.0
当归六黄汤,熟地黄,6.0
当归六黄汤,黄芪,12.0
当归六黄汤,一倍,12.0
柴前梅连散,柴胡,3.0
柴前梅连散,前胡,3.0
柴前梅连散,胡黄连,3.0
柴前梅连散,乌梅,3.0
秦艽鳖甲散,柴胡,30.0
秦艽鳖甲散,鳖甲,30.0
秦艽鳖甲散,地骨皮,30.0
秦艽鳖甲散,秦艽,15.0
秦艽鳖甲散,当归,15.0
秦艽鳖甲散,知母,15.0
清骨散,银柴胡,4.5
清骨散,胡黄连,3.0
清骨散,秦艽,3.0
清骨散,鳖甲,3.0
清骨散,地骨皮,3.0
清骨散,青蒿,3.0
清骨散,知母,3.0
清骨散,甘草,1.5
清肾汤,知母,12.0
清肾汤,黄柏,12.0
清肾汤,龙骨,12.0
清肾汤,牡蛎,12.0
清肾汤,白芍,12.0
清肾汤,山药,12.0
清肾汤,乌贼骨,6.0
清肾汤,茜草,6.0
清肾汤,泽泻,5.0
蒿芩清胆汤,青蒿脑钱,6.0
蒿芩清胆汤,淡竹茹,9.0
蒿芩清胆汤,仙半夏,1.5
蒿芩清胆汤,赤茯苓,9.0
蒿芩清胆汤,青子芩钱,9.0
蒿芩清胆汤,生枳壳钱半,5.0
蒿芩清胆汤,广陈皮,1.5
蒿芩清胆汤,碧玉散,9.0
清心莲子饮,黄芩,9.0
清心莲子饮,麦门冬,9.0
清心莲子饮,地骨皮,9.0
清心莲子饮,车前子,9.0
清心莲子饮,石莲肉,9.0
清心莲子饮,茯苓,9.0
清心莲子饮,黄芪,9.0
清心莲子饮,人参,6.0
清心莲子饮,甘草,1.5
清宫汤,玄参心,9.0
清宫汤,莲子心,1.5
清宫汤,竹叶卷心,6.0
清宫汤,连翘心,6.0
清宫汤,犀角尖,6.0
清宫汤,连心麦门冬,9.0
固真汤,升麻,3.0
固真汤,柴胡,3.0
固真汤,羌活,3.0
固真汤,甘草,1.5
固真汤,泽泻,1.5
固真汤,草龙胆,6.0
固真汤,知母,6.0
固真汤,黄柏,6.0
三豆饮子,赤小豆,24.0
三豆饮子,黑豆,24.0
三豆饮子,绿豆,24.0
三豆饮子,甘草,30.0
清燥汤,黄芪,4.5
清燥汤,陈皮,1.5
清燥汤,白术,1.5
清燥汤,泽泻,1.5
清燥汤,茯苓,0.8999999999999999
清燥汤,升麻,0.8999999999999999
清燥汤,甘草,0.6
清燥汤,麦门冬,0.6
清燥汤,当归,0.6
清燥汤,生地,0.6
清燥汤,黄神曲,0.6
清燥汤,猪苓,0.6
清燥汤,柴胡,0.3
清燥汤,黄柏,0.3
清燥汤,黄连,0.3
清燥汤,苍术,0.3
二妙散,黄柏,15.0
二妙散,苍术,15.0
当归贝母苦参丸,当归,120.0
当归贝母苦参丸,贝母,120.0
当归贝母苦参丸,苦参,120.0
葛根黄芩黄连汤,葛根,250.0
葛根黄芩黄连汤,甘草,60.0
葛根黄芩黄连汤,黄芩,90.0
葛根黄芩黄连汤,黄连,90.0
清瘟败毒饮,生石膏,120.0
清瘟败毒饮,中剂,120.0
清瘟败毒饮,小剂,60.0
清瘟败毒饮,生地黄,15.0
清瘟败毒饮,黄连,12.0
清瘟败毒饮,栀子,9.0
清瘟败毒饮,桔梗,1.5
清瘟败毒饮,黄芩,9.0
清瘟败毒饮,知母,9.0
清瘟败毒饮,赤芍,9.0
清瘟败毒饮,玄参,9.0
清瘟败毒饮,连翘,9.0
清瘟败毒饮,竹叶,6.0
清瘟败毒饮,甘草,1.5
清瘟败毒饮,丹皮,9.0
化斑汤,石膏,30.0
化斑汤,知母,12.0
化斑汤,廿草,9.0
化斑汤,玄参,9.0
化斑汤,犀角,6.0
化斑汤,白粳米,3.0
神犀丹,犀角,180.0
神犀丹,生地黄,500.0
神犀丹,香豉,240.0
神犀丹,连翘,300.0
神犀丹,黄芩,180.0
神犀丹,板蓝根,270.0
神犀丹,金银花,500.0
神犀丹,元参,210.0
神犀丹,花粉,120.0
神犀丹,石菖蒲,180.0
神犀丹,紫草,120.0
三物黄芩汤,黄芩,60.0
三物黄芩汤,苦参,60.0
三物黄芩汤,干地黄,120.0
清络饮,鲜荷叶边,6.0
清络饮,鲜金银花,6.0
清络饮,西瓜翠衣,6.0
清络饮,鲜扁豆花,0.0
清络饮,丝瓜皮,6.0
清络饮,鲜竹叶心,6.0
连附六一汤,黄连,18.0
连附六一汤,附子,3.0
连附六一汤,生姜,20.0
连附六一汤,红枣,20.0
清凉涤暑法,滑石,9.0
清凉涤暑法,连翘,9.0
清凉涤暑法,茯苓,9.0
清凉涤暑法,生甘草,2.4
清凉涤暑法,青蒿,1.5
清凉涤暑法,白扁豆,3.0
清凉涤暑法,通草,3.0
清凉涤暑法,西瓜翠衣,20.0
竹叶石膏汤,竹叶,0.0
竹叶石膏汤,石膏,500.0
竹叶石膏汤,半夏,12.0
竹叶石膏汤,人参,90.0
竹叶石膏汤,甘草,60.0
竹叶石膏汤,粳米,20.0
竹叶石膏汤,麦门冬,20.0
栀子豉汤,栀子,70.0
栀子豉汤,香豉,12.0
石膏汤,生石膏,60.0
石膏汤,黄连,60.0
石膏汤,黄柏,60.0
石膏汤,黄芩,60.0
石膏汤,香豉,24.0
石膏汤,麻黄,90.0
大金花丸,黄连,20.0
大金花丸,黄芩,20.0
大金花丸,黄柏,20.0
大金花丸,栀子,20.0
大金花丸,生大黄,20.0
白虎加人参汤,知母,180.0
白虎加人参汤,石膏,500.0
白虎加人参汤,甘草,60.0
白虎加人参汤,粳米,18.0
白虎加人参汤,人参,90.0
桂枝加大黄汤,桂枝,90.0
桂枝加大黄汤,白芍药,180.0
桂枝加大黄汤,生姜,90.0
桂枝加大黄汤,大黄,60.0
桂枝加大黄汤,大枣,60.0
桂枝加大黄汤,甘草,60.0
小续命汤,麻黄,30.0
小续命汤,防己,30.0
小续命汤,人参,30.0
小续命汤,黄芩,30.0
小续命汤,桂心,30.0
小续命汤,甘草,30.0
小续命汤,芍药,30.0
小续命汤,川芎,30.0
小续命汤,杏仁,30.0
小续命汤,附子,5.0
小续命汤,防风,15.0
小续命汤,生姜,150.0
再造散,黄芪,6.0
再造散,人参,3.0
再造散,桂枝,3.0
再造散,甘草,3.0
再造散,熟附子,3.0
再造散,羌活,3.0
再造散,防风,3.0
再造散,川芎,3.0
再造散,煨生姜,3.0
参苏饮,人参,0.8999999999999999
参苏饮,紫苏叶,0.8999999999999999
参苏饮,干葛,0.8999999999999999
参苏饮,半夏,0.8999999999999999
参苏饮,前胡,0.8999999999999999
参苏饮,茯苓,0.8999999999999999
参苏饮,枳壳,15.0
参苏饮,桔梗,15.0
参苏饮,木香,15.0
参苏饮,陈皮,15.0
参苏饮,甘草,15.0
宣毒发表汤,升麻,3.0
宣毒发表汤,葛根,3.0
宣毒发表汤,牛蒡子,5.0
宣毒发表汤,连翘,5.0
宣毒发表汤,前胡,5.0
宣毒发表汤,杏仁,6.0
宣毒发表汤,木通,3.0
宣毒发表汤,竹叶,2.0
宣毒发表汤,防风,3.0
宣毒发表汤,荆芥,3.0
宣毒发表汤,桔梗,3.0
宣毒发表汤,薄荷,3.0
宣毒发表汤,甘草,2.0
竹叶柳蒡汤,西河柳,15.0
竹叶柳蒡汤,荆芥穗钱,3.0
竹叶柳蒡汤,干葛,4.5
竹叶柳蒡汤,蝉蜕,3.0
竹叶柳蒡汤,薄荷叶,3.0
竹叶柳蒡汤,鼠粘子,4.5
竹叶柳蒡汤,知母,3.0
竹叶柳蒡汤,玄参,6.0
竹叶柳蒡汤,甘草,3.0
竹叶柳蒡汤,麦门冬,9.0
竹叶柳蒡汤,竹叶,900.0
竹叶柳蒡汤,甚者,15.0
竹叶柳蒡汤,石膏,15.0
竹叶柳蒡汤,冬米,10.0
升麻葛根汤,升麻,300.0
升麻葛根汤,白芍,300.0
升麻葛根汤,甘草,300.0
升麻葛根汤,葛根,450.0
菊花茶调散,菊花,60.0
菊花茶调散,川芎,60.0
菊花茶调散,荆芥穗,60.0
菊花茶调散,羌活,60.0
菊花茶调散,甘草,60.0
菊花茶调散,白芷,60.0
菊花茶调散,防风,15.0
菊花茶调散,僵蚕,15.0
菊花茶调散,蝉蜕,15.0
菊花茶调散,薄荷,15.0
辛夷散,辛夷,20.0
辛夷散,藁本,20.0
辛夷散,升麻,20.0
辛夷散,川芎,20.0
辛夷散,木通,20.0
辛夷散,防风,20.0
辛夷散,羌活,20.0
辛夷散,甘草,20.0
辛夷散,白芷,20.0
清上蠲痛汤,当归,3.0
清上蠲痛汤,川芎,3.0
清上蠲痛汤,白芷,3.0
清上蠲痛汤,羌活,3.0
清上蠲痛汤,防风,3.0
清上蠲痛汤,苍术,3.0
清上蠲痛汤,麦门冬,3.0
清上蠲痛汤,独活,3.0
清上蠲痛汤,甘草,0.8999999999999999
清上蠲痛汤,蔓荆子,1.5
清上蠲痛汤,菊花,1.5
清上蠲痛汤,黄芩,4.5
散偏汤,白芍,15.0
散偏汤,川芎,30.0
散偏汤,郁李仁,3.0
散偏汤,柴胡,3.0
散偏汤,白芥子,9.0
散偏汤,香附,6.0
散偏汤,甘草,3.0
散偏汤,白芷,1.5
侯氏黑散,菊花,12.0
侯氏黑散,白术,3.0
侯氏黑散,茯苓,0.8999999999999999
侯氏黑散,牡蛎,0.8999999999999999
侯氏黑散,桔梗,2.4
侯氏黑散,防风,3.0
侯氏黑散,人参,0.8999999999999999
侯氏黑散,矾石,0.8999999999999999
侯氏黑散,黄芩,1.5
侯氏黑散,当归,0.8999999999999999
侯氏黑散,干姜,0.8999999999999999
侯氏黑散,川芎,0.8999999999999999
侯氏黑散,桂枝,0.8999999999999999
升降散,白僵蚕,6.0
升降散,蝉蜕,3.0
升降散,大黄,12.0
升降散,姜黄,9.0
桂枝加龙骨牡蛎汤,桂枝,90.0
桂枝加龙骨牡蛎汤,芍药,90.0
桂枝加龙骨牡蛎汤,生姜,90.0
桂枝加龙骨牡蛎汤,甘草,60.0
桂枝加龙骨牡蛎汤,大枣,60.0
桂枝加龙骨牡蛎汤,牡蛎,90.0
桂枝加龙骨牡蛎汤,龙骨,90.0
双解散,防风通圣散,210.0
双解散,益元散,210.0
防风通圣散,防风,15.0
防风通圣散,川芎,15.0
防风通圣散,当归,15.0
防风通圣散,芍药,15.0
防风通圣散,大黄,15.0
防风通圣散,薄荷叶,15.0
